Blog	close	week	interesting	month	between	water	business	version	side	launch	home	america	good	director	them	image	twitter	video	second	through	announced	computer	than	several	white	personal	stop	web	own	challenge	such	according	public	x	put	most	seems	nice	product	store	see	give	live	won	trump	heard	wednesday	giving	asked	quickly	pretty	really	later	being	started	job	software	am	anything	party	those	st	outside	o	high	doesn	want	says	money	questions	today	evidence	think	why	published	blog	press	until	goes	again	cool	everyone	long	list	short	text	spread	simple	m	believe	where	hit	helps	else	something	ago	rather	early	search	talk	building	future	women	washington	do	came	got	apps	even	mind	team	name	become	learn	state	major	driving	any	yesterday	game	seen	focus	changed	united	run	our	friday	recently	across	perfect	season	written	links	interview	night	fine	love	creating	few	related	lights	seem	head	attack	president	yes	no	place	probably	different	only	need	tools	office	isn	technology	behind	least	down	better	campaign	youtube	late	event	bad	amazon	ready	top	four	yet	coming	face	security	important	both	national	tv	th	mother	kid	try	after	card	app	off	stuff	then	months	days	access	decided	minutes	these	family	him	deal	machine	sure	videos	tech	takes	process	available	quite	should	away	since	half	times	may	back	life	website	well	getting	care	start	big	taking	she	bit	under	nbsp	telling	still	hour	her	include	american	e	far	hard	self	look	been	report	told	easy	windows	light	wrote	years	part	series	recent	earlier	members	find	amp	general	clear	french	weeks	almost	middle	kids	every	way	great	didn	small	york	forward	morning	its	though	always	media	used	take	another	point	little	save	please	states	happy	b	microsoft	learned	issues	against	around	design	tool	space	group	car	photos	took	board	everything	check	company	data	does	events	internet	mdash	change	site	leave	don	became	often	service	did	over	said	together	ask	share	reason	amazing	ways	michael	meeting	facebook	matter	russian	going	via	running	pictures	whether	fact	buy	update	other	keep	makes	thing	pro	email	along	using	create	official	view	myself	online	wannacry	writing	say	free	idea	ll	also	were	posted	know	working	which	called	went	sunday	anyone	left	best	each	must	step	large	com	changes	john	actually	comes	ideas	found	post	making	guy	mr	man	someone	soon	companies	help	thought	google	same	products	moment	many	son	released	course	worked	past	health	saying	million	number	use	travel	room	directly	appeared	during	popular	made	co	done	tell	real	russia	order	pay	book	center	before	me	story	experience	music	two	living	trying	feel	go	information	could	shows	show	means	problems	last	books	open	previously	looking	serious	d	basically	set	feature	private	let	word	article	without	moved	end	thinking	because	devices	very	looks	might	next	he	house	school	support	full	year	come	p	play	right	latest	city	lot	impact	james	three	us	read	mobile	black	motion	too	case	ransomware	less	former	including	results	turn	massive	hours	original	ve	doing	weekend	make	possible	mark	reading	movie	work	old	nothing	stories	kind	led	never	power	once	based	already	page	had	especially	would	call	much	k	wouldn	hope	apple	while	news	line	test	enough	art	gets	social	world	ever	things	yourself	needs	his	phone
TechCrunch	0	0	0	2	0	0	1	2	0	4	1	0	1	0	2	0	0	0	2	2	1	0	2	0	0	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	1	1	0	4	0	0	1	0	0	0	0	0	0	1	0	1	1	0	2	1	0	1	0	1	0	2	0	3	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	4	0	0	0	1	0	0	5	0	5	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	3	1	0	0	0	2	0	1	1	1	0	0	1	2	0	1	1	1	1	1	0	0	6	0	1	4	0	0	0	0	0	2	0	3	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	3	1	0	0	1	1	0	0	1	0	20	0	1	0	0	0	0	0	0	1	4	0	2	2	0	1	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	7	0	0	1	0	0	1	0	0	0	1	0	0	0	2	1	1	0	4	1	0	0	2	4	0	1	0	1	1	5	0	0	0	0	0	2	1	0	1	0	0	2	0	2	1	4	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	1	0	1	6	1	0	2	1	0	0	3	2	1	1	4	1	0	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	4	4	0	3	0	0	0	1	0	0	0	0	2	1	0	1	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	2	1	1	1	20	0	0	0	0	0	1	0	1	1	0	0	1	2	0	1	0	3	1	0	0	0	0	3	0	0	0	1	0	1	0	1	2	2	0	1	0	0	0	0	2	0	0	0	1	2	0	3	0	0	0	1	4	0	0	0	1	0	0
Wonkette	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIRED	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	2	2	2
ProBlogger	2	37	24	12	17	1	82	5	17	8	10	1	102	1	207	29	15	156	28	75	2	15	82	2	1	33	17	11	34	5	8	0	4	9	57	100	3	11	3	0	113	53	20	8	0	15	3	8	27	10	32	372	17	51	59	11	14	26	36	0	213	0	5	0	9	25	241	6	31	45	164	0	232	40	12	430	6	8	12	51	15	15	24	35	10	46	5	19	261	7	130	19	28	35	187	20	9	30	22	91	19	11	1	0	474	18	136	23	104	17	34	18	27	42	3	2	2	69	2	0	17	27	15	1	17	133	0	12	22	5	2	97	9	20	5	6	51	57	76	10	13	4	32	1	0	12	56	18	47	134	53	71	58	1	16	4	17	23	47	43	0	28	4	42	17	4	5	22	12	11	41	13	0	72	53	0	2	6	1	0	36	34	4	17	40	63	246	16	40	1	17	10	123	8	3	5	1	32	60	3	16	51	5	45	51	38	10	10	53	26	108	47	19	212	51	3	92	57	13	77	103	3	0	6	42	4	31	6	0	0	14	29	18	70	83	1	7	18	0	12	23	44	44	19	7	7	8	83	0	1	2	0	23	19	4	12	48	99	120	41	17	0	13	8	4	15	62	38	40	77	56	59	133	7	3	1	5	2	0	14	1	2	61	29	31	8	88	0	36	16	12	28	22	7	0	51	48	22	0	30	59	8	204	3	23	0	63	127	36	22	31	75	20	29	34	6	2	95	8	0	251	0	11	0	35	23	4	4	163	23	15	134	9	40	12	54	94	2	23	35	22	0	114	85	65	28	120	131	108	1	137	37	84	26	21	1	10	9	54	19	2	36	2	71	10	35	103	27	33	27	226	32	5	0	1	51	6	0	56	21	25	46	12	39	85	0	2	12	12	15	6	24	1	62	145	6	14	3	29	2	8	25	10	41	23	18	0	14	4	29	5	47	226	26	17	4	106	9	42	31	157	11	100	9	77	13	10	68	16	10	4	37	2	34	3	23	7	2	44	19	84	15	3	41	35	248	0	116	10	68	55	82	3	39	4	25	68	62	6	4	79	14	0	170	3	1	52	74	31	2	1	1	49	8	0	12	0	6	9	4	8	16	2	310	107	1	97	10	7	34	0	58	7	6	9	45	5	19	5	28	5	34	66	131	7	147	20	130	8	6	9	2	33	10	6	4	24	5	15	66	40	17	242	41	9	31	45
Little Green Footballs	2	1	0	0	1	1	1	1	0	1	0	2	2	16	2	2	13	8	0	0	0	0	1	2	16	4	1	0	0	0	2	1	0	3	0	1	0	1	0	2	4	2	7	2	51	0	2	2	1	0	1	1	1	1	0	1	0	2	0	3	1	7	0	1	0	1	1	4	0	0	6	3	0	3	0	0	8	0	0	4	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	2	0	0	0	0	0	2	1	3	0	0	2	0	4	0	0	1	1	0	0	3	2	0	1	0	0	3	1	17	3	0	1	2	0	2	1	4	3	0	0	0	1	0	0	0	1	3	13	4	15	1	2	0	1	2	0	7	1	0	4	1	0	2	6	18	0	1	1	2	0	0	0	2	0	1	1	0	1	4	1	0	0	0	1	5	0	1	0	0	1	1	0	2	0	1	4	0	9	0	0	0	0	0	0	1	2	0	2	0	3	0	2	16	0	1	2	2	0	3	0	0	0	0	0	7	0	0	0	1	1	2	2	2	8	2	0	1	7	0	1	0	0	0	1	1	0	0	1	1	0	5	6	3	0	3	2	0	0	0	1	2	3	0	0	1	0	3	2	0	0	5	0	0	2	2	0	0	1	4	0	5	0	3	0	1	3	0	0	0	1	0	2	3	0	1	0	0	0	0	1	2	14	0	0	0	3	0	1	0	2	3	6	1	2	0	1	1	1	6	3	6	2	8	4	0	0	0	0	1	1	3	2	0	0	1	0	2	1	0	1	4	0	0	4	0	1	2	1	3	0	4	3	1	1	1	4	4	0	2	0	0	1	3	0	0	0	26	0	2	2	0	1	1	0	1	1	3	4	1	0	0	3	0	2	0	1	1	2	2	3	2	1	1	3	0	0	0	0	0	3	0	0	3	0	6	2	0	2	1	7	2	0	0	0	7	3	0	1	9	3	0	2	0	0	2	1	1	5	0	1	5	0	3	0	0	2	5	0	2	0	1	2	1	0	0	0	0	0	4	0	2	0	1	0	21	15	0	0	2	1	0	6	4	10	4	0	0	0	15	3	9	1	0	0	1	1	0	0	0	5	3	0	0	2	2	1	3	0	0	1	2	0	0	0	0	0	1	0	0	3	4	0	4	0	3	0	9	0	3	2	1	9	0	2	3	5	8	0	0	0	0	0	0	4	0	0	0	0	22	2
The Superficial - Because You're Ugly	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	4	2	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	2	0	0	2	0	1	2	1	0	0	1	0	0	0	1	0	2	0	0	0	0	2	2	0	0	0	1	0	3	3	0	1	1	0	0	2	1	0	0	0	1	0	4	2	2	1	1	0	0	0	1	3	0	0	0	0	0	6	0	0	0	0	1	0	1	0	0	4	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	2	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	0	2	1	0	1	2	8	1	0	0	2	0	0	7	0	2	0	0	0	0	1	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	4	2	1	1	0	0	0	0	0	0	0	0	0	2	3	0	1	2	0	0	2	0	0	0	1	7	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	4	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	11	0	0	4	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	2	1	0	0	2	1	0	4	0	0	2	2	0	15	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	3	1	2	0	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	3	7	0
Tech Blog	0	2	0	0	0	2	0	0	0	1	2	0	0	0	1	3	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	1	6	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	3	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	1	5	1	0	0	0	4	0	1	1	0	0	0	1	2	0	2	0	0	0	0	0	1	0	2	0	1	0	1	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	1	1	0	2	6	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0	1	1	1	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	2	4	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	5	0	0	0	2	0	0	0	1	2	0	0	2	1	2	0	1	2	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	0	3	0	2	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	3	1	0	1	2	3	0	0	0	0	0	0	1	1	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0
ShoeMoney	0	2	0	5	0	2	7	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	2	1	0	0	0	1	0	1	0	2	2	2	0	1	0	0	0	0	2	0	0	0	0	0	4	0	1	0	3	3	0	4	0	1	0	3	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	3	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	3	1	0	2	1	0	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	1	0	2	0	0	0	1	0	0	0	2	1	1	0	0	6	0	0	3	0	0	0	7	0	0	0	0	0	0	3	2	0	0	1	3	0	1	0	0	1	2	1	1	2	0	0	1	0	1	0	0	1	2	3	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	3	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	2	0	1	0	4	1	0	0	0	0	0	2	0	2	2	0	0	0	0
RSS feed – Search Engine Watch	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
Schneier on Security	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
